Index,AD1_TactileRaw(16bit),AD1_VGNDRaw(16bit),AD2_TactileRaw(16bit),AD2_VGNDRaw(16bit),AD3_TactileRaw(16bit),AD3_VGNDRaw(16bit),AD4_TactileRaw(16bit),AD4_VGNDRaw(16bit),AD5_TactileRaw(16bit),AD5_VGNDRaw(16bit),AD6_TactileRaw(16bit),AD6_VGNDRaw(16bit),AD7_TactileRaw(16bit),AD7_VGNDRaw(16bit),AD8_TactileRaw(16bit),AD8_VGNDRaw(16bit)
166,29116,12024,29130,12031,29179,12026,29150,12015,29135,12008,29118,12016,29128,11928,29144,12030
167,29431,12026,29443,12032,29389,12031,29431,12019,29455,12009,29430,12018,29439,11929,29457,12035
168,28427,12023,28445,12030,28548,12023,28481,12014,28443,12006,28436,12010,28444,11925,28457,12030
169,30018,12026,30025,12034,29933,12029,30001,12019,30040,12009,30010,12021,30021,11932,30041,12036
170,28149,12023,28166,12028,28283,12024,28204,12014,28164,12007,28158,12011,28167,11924,28180,12029
171,30014,12028,30024,12034,29931,12031,29997,12019,30036,12013,30007,12022,30016,11932,30034,12037
172,28017,12025,28034,12029,28151,12024,28074,12015,28029,12006,28023,12013,28033,11926,28046,12030
173,30167,12026,30172,12030,30082,12027,30146,12017,30185,12010,30156,12019,30165,11932,30184,12032
174,28037,12026,28056,12028,28163,12025,28092,12013,28050,12009,28047,12013,28055,11923,28070,12030
175,30097,12027,30105,12034,30042,12031,30090,12020,30117,12010,30090,12022,30100,11931,30120,12035
176,29391,12023,29403,12031,29421,12026,29412,12016,29406,12011,29389,12015,29399,11928,29414,12033
177,28766,12026,28776,12029,28786,12028,28784,12015,28782,12009,28768,12017,28774,11928,28791,12033
178,29354,12026,29367,12031,29389,12025,29379,12016,29368,12007,29353,12013,29364,11926,29376,12032
179,29076,12026,29087,12031,29070,12029,29084,12018,29095,12012,29077,12020,29086,11932,29101,12033
180,28445,12024,28461,12029,28563,12025,28498,12013,28461,12007,28452,12013,28459,11924,28472,12030
181,28143,12027,28161,12034,28279,12027,28201,12019,28158,12012,28151,12016,28158,11929,28173,12033
182,30059,12025,30068,12034,29976,12028,30042,12017,30078,12009,30054,12019,30061,11932,30080,12035
183,28008,12027,28023,12031,28134,12028,28058,12017,28021,12009,28017,12016,28023,11929,28037,12036
184,30122,12028,30130,12034,30055,12029,30110,12019,30144,12010,30114,12020,30126,11932,30143,12035
185,28057,12024,28071,12028,28171,12024,28106,12014,28069,12009,28063,12014,28073,11925,28085,12031
186,30086,12028,30094,12034,30028,12032,30079,12019,30105,12012,30078,12019,30091,11932,30106,12033
187,28226,12028,28241,12031,28309,12028,28267,12016,28242,12009,28232,12015,28241,11927,28255,12031
188,29549,12023,29557,12030,29564,12026,29565,12011,29564,12009,29545,12014,29555,11925,29570,12030
189,29100,12029,29109,12034,29088,12029,29107,12019,29119,12009,29099,12019,29104,11931,29123,12035
190,28497,12026,28514,12031,28611,12025,28549,12017,28512,12009,28504,12015,28513,11926,28526,12030
191,29635,12025,29645,12031,29575,12027,29626,12017,29658,12006,29631,12016,29640,11930,29659,12034
192,28088,12027,28108,12032,28222,12025,28142,12016,28099,12010,28096,12013,28103,11926,28117,12030
193,30174,12029,30183,12034,30099,12030,30161,12020,30194,12011,30167,12020,30178,11932,30196,12036
194,28076,12025,28094,12028,28189,12023,28128,12012,28090,12006,28085,12014,28093,11924,28108,12029
195,29922,12025,29934,12033,29885,12029,29920,12016,29940,12009,29915,12018,29926,11931,29943,12035
196,28341,12024,28357,12026,28418,12025,28381,12015,28358,12007,28349,12013,28358,11926,28375,12030
197,29693,12022,29701,12028,29692,12025,29701,12014,29708,12003,29690,12013,29699,11927,29714,12031
198,28702,12028,28715,12031,28732,12028,28725,12019,28722,12010,28707,12016,28714,11929,28731,12032
199,28779,12027,28795,12031,28870,12028,28823,12017,28796,12012,28785,12016,28791,11928,28808,12030
200,29753,12029,29761,12039,29682,12033,29737,12023,29773,12015,29746,12023,29755,11935,29773,12037
201,30143,12029,30152,12037,30066,12032,30128,12020,30166,12012,30139,12022,30150,11934,30167,12036
202,28092,12023,28106,12030,28202,12024,28139,12014,28102,12009,28098,12013,28106,11926,28120,12030
203,29963,12025,29973,12033,29926,12028,29961,12016,29981,12007,29956,12016,29964,11929,29985,12034
204,28513,12027,28528,12031,28568,12026,28543,12017,28532,12009,28518,12018,28528,11929,28543,12033
205,29479,12026,29491,12032,29500,12028,29500,12018,29494,12009,29476,12019,29487,11929,29504,12033
206,28842,12029,28850,12034,28858,12031,28855,12020,28856,12012,28841,12019,28848,11932,28865,12036
207,29079,12028,29094,12034,29148,12029,29116,12019,29093,12012,29082,12018,29091,11929,29105,12033
