Time(ms),TactileRaw(16bit),GroundRef(16bit)
5490.00,-582,5
5495.00,-581,4
5500.00,-581,5
5505.00,-586,5
5510.00,-585,5
5515.00,-587,3
5520.00,-581,2
5525.00,-587,2
5530.00,-584,4
5535.00,-587,3
5540.00,-589,3
5545.00,-584,2
5550.00,-589,5
5555.00,-587,2
5560.00,-585,5
5565.00,-583,2
5570.00,-583,4
5575.00,-589,2
5580.00,-590,3
5585.00,-583,3
5590.00,-587,2
5595.00,-585,4
5600.00,-582,2
5605.00,-582,4
5610.00,-583,3
5615.00,-582,2
5620.00,-587,5
5625.00,-590,3
5630.00,-585,5
5635.00,-589,5
5640.00,-584,3
5645.00,-583,5
5650.00,-583,2
5655.00,-581,4
5660.00,-583,4
5665.00,-583,4
5670.00,-581,7
5675.00,-589,4
5680.00,-584,5
5685.00,-583,3
5690.00,-582,3
5695.00,-583,5
5700.00,-586,2
5705.00,-582,4
5710.00,-586,3
5715.00,-581,2
5720.00,-587,3
5725.00,-582,4
5730.00,-583,4
5735.00,-583,2
5740.00,-586,4
5745.00,-582,5
5750.00,-580,6
5755.00,-584,5
5760.00,-584,3
5765.00,-584,3
5770.00,-582,3
5775.00,-585,4
5780.00,-582,4
5785.00,-581,5
5790.00,-580,4
5795.00,-582,3
5800.00,-581,3
5805.00,-583,3
5810.00,-580,4
5815.00,-583,5
5820.00,-587,4
5825.00,-585,2
5830.00,-580,6
5835.00,-583,2
5840.00,-584,4
5845.00,-584,5
5850.00,-579,3
5855.00,-587,3
5860.00,-582,3
5865.00,-582,2
5870.00,-584,3
5875.00,-584,5
5880.00,-582,3
5885.00,-578,5
5890.00,-583,3
5895.00,-579,5
5900.00,-581,5
5905.00,-581,5
5910.00,-583,1
5915.00,-581,4
5920.00,-578,3
5925.00,-583,3
5930.00,-586,3
5935.00,-583,4
5940.00,-577,3
5945.00,-585,4
5950.00,-583,4
5955.00,-578,2
5960.00,-584,4
5965.00,-581,5
5970.00,-583,2
5975.00,-581,3
5980.00,-583,2
5985.00,-583,5
5990.00,-584,5
5995.00,-578,2
6000.00,-584,4
6005.00,-581,2
6010.00,-580,3
6015.00,-580,2
6020.00,-580,5
6025.00,-582,3
6030.00,-582,4
6035.00,-579,3
6040.00,-582,5
6045.00,-587,5
6050.00,-583,3
6055.00,-585,5
6060.00,-586,4
6065.00,-581,2
6070.00,-577,4
6075.00,-578,6
6080.00,-586,4
6085.00,-583,3
6090.00,-582,2
6095.00,-579,5
6100.00,-589,5
6105.00,-584,5
6110.00,-583,4
6115.00,-583,2
6120.00,-580,7
6125.00,-583,4
6130.00,-579,4
6135.00,-580,4
6140.00,-580,3
6145.00,-580,3
6150.00,-578,4
6155.00,-576,2
6160.00,-583,5
6165.00,-581,4
6170.00,-578,5
6175.00,-580,2
6180.00,-576,4
6185.00,-579,4
6190.00,-580,2
